SID,Language,Visual,Auditory,Tactile,Motor,Gustatory,Olfactory,Sensory,Total,Age,Gender,AOA,Speaking ENGLISH,Listening to ENGLISH,Reading ENGLISH,Writing ENGLISH,Speaking SPANISH,Listening to SPANISH,Reading SPANISH,Writing SPANISH
377,0,6.60,7.00,5.80,7.00,7.00,7.00,7.00,6.77,20,1,12,7,7,7,7,6,6,6,6
378,0,6.80,6.00,7.00,7.00,7.00,5.80,7.00,6.66,18,2,14,7,7,7,7,5,6,5,5
379,0,6.00,3.80,5.00,5.40,4.60,5.60,5.80,5.17,19,2,14,7,7,7,7,5,6,6,6
381,0,6.80,6.00,5.80,6.40,5.80,3.60,6.20,5.80,19,2,15,7,7,7,7,4,4,5,5
382,0,6.60,6.20,6.00,6.00,4.00,2.40,3.80,5.00,19,1,15,7,7,7,7,6,6,6,6
383,0,6.20,5.40,5.40,6.40,5.80,3.20,5.60,5.43,19,2,14,7,7,7,7,6,5,6,6
384,0,5.80,3.80,4.00,4.60,4.20,4.40,5.80,4.66,22,2,13,7,7,7,7,7,6,7,5
385,0,6.00,4.60,5.40,5.00,5.80,4.60,6.40,5.40,20,2,14,7,7,7,7,4,4,5,5
386,0,5.80,7.00,6.40,6.00,6.60,5.00,6.40,6.17,19,1,11,7,7,7,7,7,6,7,6
388,0,5.20,4.80,6.20,5.80,5.00,4.40,5.20,5.23,18,2,12,7,7,7,7,5,4,6,6
389,0,5.60,6.60,7.00,7.00,6.80,5.80,6.60,6.49,23,2,21,7,7,7,7,1,2,3,3
390,0,6.00,6.80,6.60,6.20,6.60,5.20,7.00,6.34,19,2,17,7,7,7,7,7,4,5,5
391,0,6.80,6.20,6.40,6.40,6.60,5.80,6.20,6.34,21,2,13,7,7,7,7,5,6,6,5
392,0,6.60,6.60,6.20,6.80,6.80,5.20,6.80,6.43,21,2,13,7,7,7,7,7,6,7,7
393,0,5.80,6.40,6.20,7.00,6.40,6.40,7.00,6.46,21,1,14,7,7,7,7,5,6,6,5
394,0,6.20,6.60,5.60,7.00,7.00,4.20,6.60,6.17,19,1,11,7,7,7,7,4,3,5,5
395,0,4.80,5.00,5.00,6.20,5.80,4.00,7.00,5.40,22,1,15,7,7,7,7,6,5,6,5
396,0,6.60,6.40,6.80,6.40,6.60,6.80,7.00,6.66,21,2,15,7,7,7,7,6,5,6,6
397,0,5.60,6.60,7.00,6.60,7.00,5.00,7.00,6.40,23,2,14,6,6,6,6,3,4,5,4
398,0,6.60,6.80,5.80,7.00,6.00,4.60,6.40,6.17,21,2,12,7,7,7,7,6,6,5,5
399,0,6.00,7.00,6.80,6.40,7.00,6.60,7.00,6.69,24,2,18,7,7,7,7,6,7,6,6
400,0,4.60,5.40,5.00,6.80,4.00,3.40,6.20,5.06,23,1,16,7,7,6,6,5,5,5,6
401,0,5.20,5.40,4.80,5.80,5.60,4.40,6.00,5.31,42,1,13,7,7,7,7,6,5,6,6
402,0,7.00,7.00,7.00,7.00,7.00,7.00,6.60,6.94,33,2,29,7,7,7,7,5,4,6,6
403,0,5.60,6.60,6.60,6.80,6.20,5.40,7.00,6.31,21,2,13,7,7,7,7,4,4,5,4
404,0,5.80,6.40,6.80,6.20,6.20,5.20,6.80,6.20,19,1,5,7,7,7,7,7,7,7,6
405,0,4.60,6.00,6.00,6.40,5.80,5.80,6.60,5.89,21,2,16,7,7,7,7,5,6,7,6
406,0,7.00,7.00,7.00,6.80,6.80,5.00,5.80,6.49,21,1,14,7,7,7,7,6,5,5,6
407,0,4.80,6.60,6.80,6.40,6.20,4.80,7.00,6.09,20,2,12,7,7,7,7,6,7,7,7
408,0,6.20,6.20,5.40,5.20,5.00,4.60,6.00,5.51,20,2,15,7,7,7,7,5,6,6,5
409,0,5.60,5.60,6.00,5.20,6.00,4.80,7.00,5.74,21,1,12,7,7,7,7,6,5,5,6
410,0,5.60,4.60,5.80,6.00,6.20,5.00,6.40,5.66,21,2,14,7,7,7,7,4,5,6,5
411,0,5.80,5.20,6.00,5.60,5.60,4.80,6.00,5.57,19,2,12,7,7,7,7,5,5,5,5
412,0,6.40,6.20,6.40,7.00,7.00,6.00,6.80,6.54,21,1,15,7,7,7,7,5,6,5,5
413,0,6.80,6.60,6.80,6.60,6.80,5.40,7.00,6.57,20,2,13,7,7,7,7,5,7,5,7
414,0,4.60,5.40,7.00,7.00,7.00,5.00,7.00,6.14,21,2,14,7,7,7,7,5,4,7,6
415,0,6.20,7.00,6.60,7.00,7.00,7.00,7.00,6.83,21,2,13,7,7,7,7,4,6,5,4
417,0,5.40,6.40,6.20,7.00,6.40,5.40,6.20,6.14,21,2,15,7,7,7,7,5,4,6,6
418,0,6.00,5.40,5.20,6.00,6.20,3.80,4.40,5.29,20,2,15,7,7,7,7,4,5,5,5
419,0,6.40,7.00,7.00,7.00,7.00,7.00,7.00,6.91,21,2,13,7,7,7,7,6,6,5,6
